AnimalID,DOB,Season,Age,Sex,Group,BehaviorMoM,Evento,ngroup,TransFer,Death,EventDate,Status,Asterisk
13,01/01/1955,<=2013,64.08,m,U,?,,U,,01-Jun-56,,Dead,
14,01/01/1955,<=2013,64.08,m,U,119,nA,nA,,15-Aug-67,01/01/1960,Dead,
15,01/01/1955,<=2013,64.08,f,U,?,nA,nA,,13-Feb-69,01/01/1960,Dead,
16,01/01/1955,<=2013,64.08,m,U,?,,U,,01-Jun-56,,Dead,
17,01/01/1953,<=2013,66.08,m,U,?,,U,,01-Jun-56,,Dead,
18,01/01/1956,<=2013,63.08,f,U,?,,U,,01-Jun-56,,Dead,
19,01/01/1955,<=2013,64.08,m,U,?,X,X,,17-Aug-81,11/01/1980,Dead,
01A,03/06/1992,<=2013,26.92,m,R,B10,,R,1/26/1995,,,Remove,
01B,6/15/1993,<=2013,25.67,f,F,I65,HH,HH,,19-Mar-10,10/27/2006,Dead,
01C,12/24/1993,<=2013,25.17,m,R,S97,,R,1/25/1996,,,Remove,
01D,2/28/1995,<=2013,24,m,S,D82,,S,02/07/1997,,,Remove,
01E,12/26/1994,<=2013,24.17,m,R,X91,,R,1/17/1997,,,Remove,
01F,3/25/1996,<=2013,22.92,m,F,I70,,F,1/27/1998,,,Remove,
01G,1/15/1997,<=2013,22.08,m,F,V37,,F,03/05/1999,,,Remove,
01H,01/06/1997,<=2013,22.08,f,S,X60,,S,1/27/1999,,,Remove,
01I,2/19/1998,<=2013,21,m,F,13C,nII,nII,1/30/2001,,8/24/1999,Remove,*
01J,01/11/1998,<=2013,21.08,f,F,O56,nII,nII,4/26/2001,02-Oct-62,8/24/1999,Remove,
01K,1/28/1999,<=2013,20.08,m,V,845,S,S,,11-Apr-17,06/09/2016,Dead,***
01L,03/04/1999,<=2013,19.92,m,BB,K79,,BB,1/30/2001,,,Remove,
01N,03/05/2000,<=2013,18.92,f,F,V65,,F,,01-Jan-02,,Dead,
01O,12/07/1999,<=2013,19.17,f,F,J85,F,F,1/23/2002,,09/01/2001,Remove,
01P,3/20/2001,<=2013,17.92,f,F,21C,HH,HH,,12-Feb-09,10/23/2006,Dead,
01R,11/06/2001,<=2013,17.25,f,V,X67,,V,,01-Dec-14,,Dead,
01S,11/24/2001,<=2013,17.25,m,CC,40A,,CC,1/30/2004,,,Remove,
01T,11/20/2002,<=2013,16.25,f,R,V60,,R,02/02/2006,,,Remove,
01V,12/20/2003,<=2013,15.17,m,V,J41,,V,03/09/2005,,,Remove,
01Z,10/25/2003,<=2013,15.33,m,R,54N,,R,2/14/2006,,,Remove,
20,01/01/1951,<=2013,68.08,f,U,?,nK,nK,3/13/1972,,11/10/1969,Remove,
21,01/01/1955,<=2013,64.08,f,U,?,nI,nI,,01-Jun-61,01/01/1961,Dead,
22,01/01/1954,<=2013,65.08,f,U,?,nF,F,,24-Aug-72,01/01/1960,Dead,
23,01/01/1956,<=2013,63.08,f,U,?,,U,,19-Jun-56,,Dead,
24,01/01/1955,<=2013,64.08,f,U,?,nE,nE,,15-Jul-70,01/01/1960,Dead,
25,01/01/1955,<=2013,64.08,m,U,?,X,X,8/14/1961,,8/29/1960,Remove,
26,01/01/1953,<=2013,66.08,m,U,?,nA,nA,10/03/1971,,01/01/1960,Remove,
27,01/01/1955,<=2013,64.08,m,U,?,nC,nC,,09-Sep-68,01/01/1960,Dead,
28,01/01/1955,<=2013,64.08,f,U,?,C,C,,17-May-60,01/03/1960,Dead,
29,01/01/1955,<=2013,64.08,f,U,?,nC,nC,,06-Mar-65,01/01/1960,Dead,
02A,01/10/1992,<=2013,27.08,f,R,G68,,R,,16-Aug-11,,Dead,
02B,2/28/1993,<=2013,26,m,F,J92,,F,,09-Jun-94,,Dead,
02C,1/17/1994,<=2013,25.08,m,R,D92,F,F,1/31/2002,,10/10/2001,Remove,
02D,12/01/1994,<=2013,24.17,m,S,D98,,S,1/15/1997,,,Remove,
02E,12/10/1994,<=2013,24.17,m,R,N41,nBB,BB,1/15/1997,,01/01/1996,Remove,
02F,2/28/1996,<=2013,23,m,F,I88,F,F,1/21/2010,,10/01/2000,Remove,
02G,02/03/1997,<=2013,22,f,F,65A,nKK,KK,02/04/2010,,06/07/2000,Remove,
02H,12/29/1996,<=2013,22.17,m,R,28A,,R,2/25/1999,,,Remove,
02I,12/14/1997,<=2013,21.17,m,F,O52,,F,04/10/2001,,,Remove,
02J,4/22/1998,<=2013,20.83,m,F,78A,L,L,02/06/2001,,09/01/2000,Remove,
02K,02/11/1999,<=2013,20,f,V,X67,,V,,02-Jul-06,,Dead,
02L,1/27/1999,<=2013,20.08,m,E,V91,,E,04/11/2001,,,Remove,
02N,12/17/1999,<=2013,19.17,m,F,Z15,,F,02/01/2002,,,Remove,
02O,03/02/2000,<=2013,18.92,m,R,59F,,R,02/06/2002,,,Remove,
02P,1/21/2001,<=2013,18.08,m,F,J92,,F,1/22/2003,,,Remove,
02R,11/14/2001,<=2013,17.25,m,V,15E,R,R,,14-Feb-14,03/12/2012,Dead,
02S,1/24/2002,<=2013,17.08,m,S,O35,,S,02/04/2004,,,Remove,
02T,01/01/2003,<=2013,16.08,f,R,N40,,R,,17-Aug-10,,Dead,
02V,12/17/2003,<=2013,15.17,f,F,64A,,F,02/07/2006,,,Remove,
02Z,12/07/2003,<=2013,15.17,m,KK,R75,R,R,02/03/2010,,5/13/2009,Remove,
30,01/01/1955,<=2013,64.08,f,U,?,,U,,24-Oct-57,,Dead,
31,01/01/1955,<=2013,64.08,f,U,?,nJ,nJ,,01-Apr-73,01/01/1965,Dead,
32,01/01/1955,<=2013,64.08,m,U,?,,U,,21-Jun-56,,Dead,
33,01/01/1953,<=2013,66.08,f,U,?,,U,,12-Apr-57,,Dead,
34,01/01/1951,<=2013,68.08,f,U,?,,U,,21-Jun-56,,Dead,
35,01/01/1955,<=2013,64.08,f,U,?,nC,nC,,20-Nov-64,01/01/1960,Dead,
36,01/01/1955,<=2013,64.08,m,U,?,,U,,19-Mar-58,,Dead,
37,01/01/1955,<=2013,64.08,f,U,?,nA,nA,11/05/1971,,01/01/1960,Remove,
38,01/01/1954,<=2013,65.08,f,U,?,nC,nC,1/14/1969,,01/01/1960,Remove,
39,01/01/1955,<=2013,64.08,m,U,?,A,A,,25-Nov-68,08/04/1964,Dead,
03A,02/05/1992,<=2013,27,m,F,B56,,F,02/08/1995,,,Remove,
03B,01/03/1993,<=2013,26.08,f,F,F74,nKK,KK,,11-Sep-12,06/07/2000,Dead,
03C,1/14/1994,<=2013,25.08,m,S,D82,,S,1/30/1996,,,Remove,*
03D,11/21/1994,<=2013,24.25,m,S,H64,R,R,02/05/2010,,1/18/2005,Remove,
03E,1/18/1995,<=2013,24.08,f,F,F74,,F,,22-Nov-96,,Dead,
03F,02/12/1996,<=2013,23,m,F,X90,,F,1/30/1998,,,Remove,
03G,04/04/1997,<=2013,21.83,m,F,R71,R,R,,04-Nov-03,05/11/2001,Dead,
03H,12/05/1996,<=2013,22.17,f,R,J69,,R,,06-Jul-10,,Dead,
03I,01/09/1998,<=2013,21.08,f,F,R74,nII,nII,2/27/2002,,8/24/1999,Remove,
03J,12/22/1997,<=2013,21.17,f,F,O69,MM,MM,,30-May-17,06/01/2014,Dead,
03K,11/24/1998,<=2013,20.25,m,F,19A,nKK,KK,1/17/2001,,06/07/2000,Remove,
03L,12/20/1998,<=2013,20.17,f,F,18A,,F,1/30/2002,,,Remove,
03N,11/26/1999,<=2013,19.25,m,F,89C,S,S,,11-Dec-17,07/09/2008,Dead,
03O,2/25/2000,<=2013,19,m,R,B60,,R,1/17/2001,,,Remove,
03P,12/14/2000,<=2013,18.17,f,F,Z08,,F,1/28/2003,,,Remove,
03R,11/08/2001,<=2013,17.25,m,V,T98,,V,02/06/2004,,,Remove,
03S,1/31/2002,<=2013,17.08,f,S,D82,,S,,19-Mar-10,,Dead,
03T,12/03/2002,<=2013,16.17,m,R,O33,KK,KK,1/26/2010,,08/09/2008,Remove,
03V,12/04/2003,<=2013,15.17,m,F,71J,,F,03/08/2005,,,Remove,
03Z,1/13/2004,<=2013,15.08,f,HH,81B,,HH,10/20/2016,,,Remove,
40,01/01/1955,<=2013,64.08,f,U,?,nA,nA,,12-Sep-62,01/01/1960,Dead,
41,01/01/1956,<=2013,63.08,f,U,?,nA,nA,3/20/1967,,01/01/1960,Remove,
42,01/01/1956,<=2013,63.08,m,U,?,A,A,,14-Dec-66,09/12/1966,Dead,
43,01/01/1955,<=2013,64.08,m,U,?,X,X,8/15/1961,,08/04/1960,Remove,
44,01/01/1955,<=2013,64.08,f,U,?,,U,,23-Jun-56,,Dead,
45,01/01/1956,<=2013,63.08,m,U,?,I,I,,25-Mar-63,01/01/1963,Dead,
46,01/01/1953,<=2013,66.08,f,U,?,nHH,HH,,01-Dec-61,01/01/1961,Dead,
47,01/01/1951,<=2013,68.08,m,U,?,,U,,28-Jun-56,,Dead,
48,01/01/1951,<=2013,68.08,f,U,?,,U,,01-Jan-59,,Dead,
49,01/01/1954,<=2013,65.08,f,U,?,nHH,HH,,16-Dec-68,01/01/1961,Dead,
04A,03/10/1992,<=2013,26.92,f,F,O56,nII,nII,2/27/2002,,8/24/1999,Remove,
04B,02/10/1993,<=2013,26,m,F,C26,,F,,11-Jul-94,,Dead,
04C,12/20/1993,<=2013,25.17,f,R,S55,,R,1/16/1996,,,Remove,
04D,01/09/1995,<=2013,24.08,f,S,I56,,S,1/17/1997,,,Remove,
04E,01/03/1995,<=2013,24.08,f,F,O87,,F,2/22/2002,,,Remove,
04F,11/06/1995,<=2013,23.25,m,F,G43,,F,02/06/1998,,,Remove,
04G,04/07/1997,<=2013,21.83,f,F,V04,,F,02/03/1999,,,Remove,
04H,12/15/1996,<=2013,22.17,f,R,V60,,R,02/03/1999,,,Remove,
04I,12/09/1997,<=2013,21.17,M,F,55A,F,F,,,09/12/2018,IN CS,
04J,2/13/1998,<=2013,21,m,R,V60,,R,2/22/2001,,,Remove,
04K,03/04/1999,<=2013,19.92,m,F,99A,,F,4/19/2001,,,Remove,
04L,01/12/1999,<=2013,20.08,m,E,44B,,E,3/15/2002,,,Remove,
04N,3/25/2000,<=2013,18.92,F,F,17C,,F,,,,IN CS,
04O,11/14/1999,<=2013,19.25,f,F,Z08,,F,,06-Feb-09,,Dead,
04P,01/02/2001,<=2013,18.08,f,F,S16,F,F,2/27/2003,,5/20/2002,Remove,
04R,12/03/2001,<=2013,17.17,m,F,42B,,F,1/21/2004,,,Remove,
04S,11/27/2001,<=2013,17.25,m,R,68C,,R,1/22/2004,,,Remove,
04T,11/04/2002,<=2013,16.25,M,R,96G,V,V,,,03/10/2016,IN CS,
04V,10/18/2003,<=2013,15.33,m,F,46F,,F,03/08/2005,,,Remove,
04Z,02/10/2004,<=2013,15,M,S,O35,MM,MM,,,4/27/2017,IN CS,
50,01/01/1955,<=2013,64.08,f,U,?,,U,,19-Aug-59,,Dead,
51,01/01/1955,<=2013,64.08,f,U,?,nC,nC,,14-Jan-62,01/01/1960,Dead,
52,01/01/1954,<=2013,65.08,m,U,?,,U,,28-Jun-56,,Dead,
53,01/01/1955,<=2013,64.08,m,U,?,E,E,10/15/1971,,9/14/1966,Remove,
54,01/01/1951,<=2013,68.08,f,U,?,,U,,01-Jan-59,,Dead,
55,01/01/1954,<=2013,65.08,f,U,?,nC,nC,3/20/1969,,01/01/1960,Remove,
56,01/01/1955,<=2013,64.08,m,U,?,X,X,,04-Mar-82,11/01/1981,Dead,
57,01/01/1955,<=2013,64.08,f,U,?,nHH,HH,6/25/1966,,01/01/1961,Remove,
58,01/01/1954,<=2013,65.08,f,U,?,C,C,12/04/1961,,01/01/1961,Remove,
59,01/01/1955,<=2013,64.08,f,U,?,nCC,CC,12/08/1961,,01/01/1960,Remove,
05A,03/07/1992,<=2013,26.92,f,F,725,nII,nII,2/21/2002,,8/24/1999,Remove,
05B,01/11/1993,<=2013,26.08,f,A,G42,,A,02/09/1995,,,Remove,
05C,12/06/1993,<=2013,25.17,m,S,678,,S,2/16/1996,,,Remove,
05D,02/10/1995,<=2013,24,f,S,L97,nDD,nDD,2/21/2002,,05/01/1997,Remove,
05E,03/01/1995,<=2013,23.92,m,F,931,,F,2/28/1997,,,Remove,
05F,1/22/1996,<=2013,23.08,f,F,R75,,F,02/09/1998,,,Remove,
05G,12/07/1996,<=2013,22.17,m,F,O70,,F,02/05/1999,,,Remove,
05H,01/08/1997,<=2013,22.08,m,C,O30,,C,,13-Jul-98,,Dead,
05I,02/09/1998,<=2013,21,m,F,G43,F,F,,27-May-11,3/15/2010,Dead,
05J,03/11/1998,<=2013,20.92,f,R,B60,,R,,06-May-99,,Dead,
05K,12/10/1998,<=2013,20.17,m,F,N13,F,F,1/23/2001,,12/01/2000,Remove,
05L,2/25/1999,<=2013,20,m,S,Z99,,S,,28-Apr-00,,Dead,
05N,12/15/1999,<=2013,19.17,f,F,57A,,F,1/23/2002,,,Remove,
05O,01/07/2000,<=2013,19.08,m,F,O55,nKK,KK,,31-Dec-01,06/07/2000,Dead,
05P,01/02/2001,<=2013,18.08,f,F,D69,,F,2/27/2003,,,Remove,
05R,10/23/2001,<=2013,17.33,f,CC,50D,,CC,03/03/2004,,,Remove,
05S,10/29/2001,<=2013,17.33,f,R,30D,,R,02/12/2004,,,Remove,
05T,12/19/2002,<=2013,16.17,f,R,02A,,R,2/14/2006,,,Remove,
05V,11/14/2003,<=2013,15.25,f,F,Z11,,F,,27-Apr-06,,Dead,***
05Z,12/06/2003,<=2013,15.17,m,KK,21H,S,S,,15-Jan-13,8/20/2012,Dead,*
60,01/01/1951,<=2013,68.08,m,U,?,nA,nA,,27-Oct-60,01/01/1960,Dead,
61,01/01/1954,<=2013,65.08,f,U,?,nF,F,,03-Mar-61,01/01/1960,Dead,
62,01/01/1954,<=2013,65.08,f,U,?,nL,nL,,09-Sep-76,11/10/1969,Dead,
63,01/01/1954,<=2013,65.08,m,U,?,C,C,,24-Oct-66,11/01/1960,Dead,
64,01/01/1951,<=2013,68.08,f,U,?,nA,nA,,11-Nov-68,01/01/1960,Dead,
65,01/01/1953,<=2013,66.08,f,U,?,nF,F,,25-Aug-73,01/01/1960,Dead,
66,01/01/1951,<=2013,68.08,m,U,?,C,C,,01-Oct-63,09/01/1963,Dead,
67,01/01/1956,<=2013,63.08,f,U,?,,U,,10-Jul-56,,Dead,
68,01/01/1954,<=2013,65.08,f,U,?,,U,,10-Jul-56,,Dead,
69,01/01/1955,<=2013,64.08,f,U,?,nA,nA,,28-Mar-62,01/01/1960,Dead,
06A,1/25/1992,<=2013,27.08,f,S,N16,,S,,01-Jul-11,,Dead,***
06B,01/05/1993,<=2013,26.08,m,A,F20,,A,02/08/1995,,,Remove,
06C,02/04/1994,<=2013,25,m,S,869,,S,1/23/1996,,,Remove,
06D,02/02/1995,<=2013,24,f,S,L37,BB,BB,1/29/1997,,11/07/1996,Remove,
06E,01/03/1995,<=2013,24.08,f,F,V58,,F,1/24/1997,,,Remove,
06F,3/19/1996,<=2013,22.92,m,F,985,,F,02/10/1998,,,Remove,
06G,1/15/1997,<=2013,22.08,m,F,G43,,F,,27-May-99,,Dead,
06H,12/03/1996,<=2013,22.17,m,R,D83,BB,BB,03/09/2004,,06/05/2002,Remove,
06I,01/01/1998,<=2013,21.08,m,F,O70,,F,1/23/2001,,,Remove,
06J,1/22/1998,<=2013,21.08,f,R,X28,,R,03/04/2009,,,Remove,
06K,4/23/1999,<=2013,19.83,m,F,R65,,F,2/14/2001,,,Remove,
06L,12/29/1998,<=2013,20.17,f,R,V60,,R,04/05/2001,,,Remove,
06N,11/26/1999,<=2013,19.25,m,F,I50,HH,HH,1/30/2002,,12/01/2000,Remove,
06O,02/05/2000,<=2013,19,M,F,19A,F,F,,,11/11/2016,IN CS,
06P,12/08/2000,<=2013,18.17,m,F,J28,,F,1/22/2003,,,Remove,
06R,11/03/2001,<=2013,17.25,m,BB,69F,,BB,2/24/2004,,,Remove,
06S,12/06/2001,<=2013,17.17,f,BB,K79,,BB,1/29/2004,,,Remove,
06T,10/25/2002,<=2013,16.33,f,R,39F,,R,2/14/2006,,,Remove,
06V,2/18/2004,<=2013,15,m,F,59A,,F,03/08/2005,,,Remove,
06Z,11/30/2003,<=2013,15.25,f,KK,75J,,KK,,12-Jul-05,,Dead,
70,01/01/1951,<=2013,68.08,f,U,?,nCC,CC,,12-Mar-63,01/01/1960,Dead,
71,01/01/1956,<=2013,63.08,f,U,?,,U,,10-Jul-56,,Dead,
72,01/01/1953,<=2013,66.08,m,U,?,X,X,07/02/1962,,06/01/1962,Remove,
73,01/01/1951,<=2013,68.08,f,U,?,nF,F,,25-Dec-61,01/01/1960,Dead,
74,01/01/1956,<=2013,63.08,f,U,?,nC,nC,12/16/1968,,01/01/1960,Remove,
75,01/01/1955,<=2013,64.08,f,U,?,nC,nC,3/26/1969,,01/01/1960,Remove,
76,01/01/1951,<=2013,68.08,f,U,?,nF,F,,04-Aug-72,01/01/1960,Dead,
77,01/01/1955,<=2013,64.08,m,U,?,nA,nA,,12-May-61,01/01/1960,Dead,
78,01/01/1951,<=2013,68.08,f,U,?,nA,nA,,28-Jan-62,01/01/1960,Dead,
79,01/01/1954,<=2013,65.08,m,U,?,A,A,,13-Nov-67,10/01/1961,Dead,
07A,3/30/1992,<=2013,26.92,f,F,J89,nKK,KK,,15-Jan-13,06/07/2000,Dead,
07B,12/05/1992,<=2013,26.17,f,A,C40,,A,02/01/1995,,,Remove,
07C,03/07/1994,<=2013,24.92,f,S,O35,,S,01/10/1996,,,Remove,
07D,01/04/1995,<=2013,24.08,M,R,L19,F,F,,,6/23/2000,IN CS,-
07E,01/04/1995,<=2013,24.08,f,F,X70,,F,1/17/1997,,,Remove,
07F,1/26/1996,<=2013,23.08,f,F,N13,F,F,1/17/2002,,09/01/2001,Remove,
07G,1/22/1997,<=2013,22.08,m,F,E65,,F,1/28/1999,,,Remove,
07H,12/24/1996,<=2013,22.17,f,R,K28,,R,1/28/1999,,,Remove,
07I,2/20/1998,<=2013,21,m,V,T03,R,R,,01-Dec-08,09/04/2003,Dead,*
07J,12/10/1997,<=2013,21.17,m,R,31A,,R,1/24/2001,,,Remove,
07K,12/26/1998,<=2013,20.17,f,F,73B,,F,2/14/2001,,,Remove,
07L,01/06/1999,<=2013,20.08,f,R,95A,,R,,13-May-13,,Dead,
07N,1/22/2000,<=2013,19.08,f,F,61A,,F,1/23/2002,,,Remove,
07O,01/01/2000,<=2013,19.08,m,J,J66,,J,1/17/2002,,,Remove,
07P,01/09/2001,<=2013,18.08,m,F,Z14,,F,1/22/2003,,,Remove,
07R,12/15/2001,<=2013,17.17,m,KK,65A,,KK,1/21/2004,,,Remove,
07S,11/03/2001,<=2013,17.25,f,KK,03B,,KK,1/21/2004,,,Remove,
07T,01/06/2003,<=2013,16.08,m,R,77D,HH,HH,,07-Jul-11,05/10/2011,Dead,**
07V,11/06/2003,<=2013,15.25,m,F,56A,,F,03/08/2005,,,Remove,
07Z,12/14/2003,<=2013,15.17,m,KK,V05,,KK,03/09/2005,,,Remove,
80,01/01/1954,<=2013,65.08,f,U,?,nHH,HH,6/25/1966,,01/01/1961,Remove,
81,01/01/1951,<=2013,68.08,f,U,?,nA,nA,11/05/1971,,01/01/1960,Remove,
82,01/01/1951,<=2013,68.08,m,U,?,,U,,01-Jun-56,,Dead,
83,01/01/1951,<=2013,68.08,f,U,?,,U,,29-Nov-57,,Dead,
84,01/01/1951,<=2013,68.08,f,U,?,nHH,HH,8/21/1972,,01/01/1961,Remove,
85,01/01/1955,<=2013,64.08,f,U,?,nA,nA,,12-Jul-63,01/01/1960,Dead,
86,01/01/1955,<=2013,64.08,m,U,?,nC,nC,,14-Oct-60,01/01/1960,Dead,
87,01/01/1953,<=2013,66.08,f,U,?,,U,,07-Oct-57,,Dead,
88,01/01/1955,<=2013,64.08,f,U,?,nC,nC,12/16/1968,,01/01/1960,Remove,
89,01/01/1951,<=2013,68.08,m,U,?,,U,,06-Apr-59,,Dead,
08A,1/27/1992,<=2013,27.08,m,R,C12,V,V,,19-May-03,10/11/2001,Dead,
08B,12/15/1992,<=2013,26.17,f,Y,987,,Y,01/11/1995,,,Remove,
08C,2/17/1994,<=2013,25,f,R,V60,,R,1/17/1996,,,Remove,
08D,12/28/1994,<=2013,24.17,f,R,O96,,R,1/24/1997,,,Remove,
08E,5/13/1995,<=2013,23.75,m,F,R65,,F,1/17/1997,,,Remove,
08F,12/20/1995,<=2013,23.17,f,F,J28,,F,1/23/2002,,,Remove,
08G,01/05/1997,<=2013,22.08,f,F,56A,,F,1/28/1999,,,Remove,
08H,3/19/1997,<=2013,21.92,f,R,S96,,R,02/03/1999,,,Remove,
08I,12/22/1997,<=2013,21.17,f,F,01B,,F,,21-Jan-03,,Dead,**
08J,11/05/1997,<=2013,21.25,m,BB,D97,,BB,07/06/1999,,,Remove,
08K,12/16/1998,<=2013,20.17,m,F,57A,,F,1/23/2001,,,Remove,
08L,11/09/1998,<=2013,20.25,f,BB,L29,,BB,4/26/2001,,,Remove,
08N,11/20/1999,<=2013,19.25,m,F,V36,,F,,14-Sep-06,,Dead,
08O,12/10/1999,<=2013,19.17,m,R,V24,HH,HH,,11-Jun-09,10/11/2004,Dead,***
08P,12/07/2000,<=2013,18.17,m,F,R78,KK,KK,1/22/2003,,1/21/2002,Remove,
08R,12/21/2001,<=2013,17.17,f,BB,31D,,BB,02/06/2004,,,Remove,
08S,12/24/2001,<=2013,17.17,m,F,24B,,F,03/09/2004,,,Remove,
08T,1/19/2003,<=2013,16.08,f,R,X28,,R,02/07/2006,,,Remove,
08V,03/01/2004,<=2013,14.92,m,F,73B,,F,03/08/2005,,,Remove,
08Z,10/01/2003,<=2013,15.33,f,R,K84,,R,,27-Mar-10,,Dead,
90,01/01/1951,<=2013,68.08,f,U,?,nA,nA,09/03/1970,,01/01/1960,Remove,
91,01/01/1951,<=2013,68.08,f,U,?,nI,nI,,24-Feb-71,01/01/1961,Dead,
92,01/01/1951,<=2013,68.08,f,U,?,nJ,nJ,,15-Nov-68,01/01/1965,Dead,
93,01/01/1951,<=2013,68.08,f,U,?,nA,nA,5/30/1960,,01/01/1960,Remove,
94,01/01/1951,<=2013,68.08,f,U,?,nC,nC,1/13/1969,,01/01/1960,Remove,
95,01/01/1955,<=2013,64.08,m,U,?,E,E,,30-Jun-70,10/12/1961,Dead,
96,01/01/1955,<=2013,64.08,m,U,?,nI,nI,,23-Feb-71,01/01/1961,Dead,
97,01/01/1955,<=2013,64.08,f,U,?,nHH,HH,,16-Oct-67,01/01/1961,Dead,
98,01/01/1956,<=2013,63.08,m,U,?,C,C,12/02/1968,,9/30/1967,Remove,
99,01/01/1956,<=2013,63.08,f,U,?,nC,nC,12/15/1961,,01/01/1960,Remove,
09A,01/04/1992,<=2013,27.08,m,F,N05,,F,1/20/1995,,,Remove,
09B,1/13/1993,<=2013,26.08,f,Y,O45,,Y,01/11/1995,,,Remove,
09C,11/21/1993,<=2013,25.25,m,R,J12,,R,,17-Jan-96,,Dead,
09D,12/28/1994,<=2013,24.17,m,S,S11,nCC,CC,1/15/1997,,01/01/1996,Remove,
09E,3/30/1995,<=2013,23.92,f,F,985,,F,,01-May-97,,Dead,
09F,02/04/1996,<=2013,23,f,F,J89,nEE,nEE,1/23/2002,,06/01/1997,Remove,
09G,2/26/1997,<=2013,22,f,F,Z11,,F,03/05/1999,,,Remove,
09H,1/19/1997,<=2013,22.08,f,BB,K79,,BB,1/27/1999,,,Remove,
09I,11/29/1997,<=2013,21.25,f,F,O54,,F,1/17/2002,,,Remove,
09J,01/08/1998,<=2013,21.08,m,F,V80,,F,,01-Jan-99,,Dead,
09K,12/17/1998,<=2013,20.17,m,F,86C,X,X,10/08/2007,,5/16/2007,Remove,
09L,12/22/1998,<=2013,20.17,m,CC,82B,KK,KK,,16-May-07,5/28/2003,Dead,
09N,12/23/1999,<=2013,19.17,m,F,Z14,,F,1/23/2002,,,Remove,
09O,2/16/2000,<=2013,19,f,R,39F,,R,02/06/2002,,,Remove,
09P,02/11/2001,<=2013,18,m,F,J95,,F,02/06/2003,,,Remove,
09R,12/05/2001,<=2013,17.17,m,CC,33H,,CC,1/27/2004,,,Remove,
09S,11/26/2001,<=2013,17.25,m,F,56A,,F,1/30/2004,,,Remove,
09T,11/22/2002,<=2013,16.25,f,R,87F,,R,2/28/2006,,,Remove,
09V,1/13/2004,<=2013,15.08,m,F,42B,,F,03/08/2005,,,Remove,
09Z,11/07/2003,<=2013,15.25,F,R,46K,S,S,,,6/14/2016,IN CS,
0A0,10/16/2004,<=2013,14.33,f,R,30D,,R,03/07/2006,,,Remove,
0A1,11/19/2004,<=2013,14.25,f,R,15C,,R,1/30/2007,,,Remove,
0A2,12/18/2004,<=2013,14.17,f,R,89K,,R,,30-Oct-15,,Dead,
